points,pass_atts,pass_cmps,pass_yds,pass_tds,pass_ints,pass_2pts,rush_atts,rush_yds,rush_tds,rush_2pts,recs,rec_yds,rec_tds,rec_2pts,fumbles_lost,is_QB,is_RB,is_WR,is_TE,prev_points
106.00,337,190,"2,052",7,10,1,17,20,1,0,0,0,0,0,2,1,0,0,0,33.00
106.00,337,190,"2,052",7,10,1,17,20,1,0,0,0,0,0,2,1,0,0,0,33.00
1.00,6,4,36,0,0,0,7,-2,0,0,0,0,0,0,0,1,0,0,0,20.00
1.00,6,4,36,0,0,0,7,-2,0,0,0,0,0,0,0,1,0,0,0,20.00
69.00,204,119,"1,276",5,7,1,15,78,0,0,0,0,0,0,0,1,0,0,0,18.00
69.00,204,119,"1,276",5,7,1,15,78,0,0,0,0,0,0,0,1,0,0,0,18.00
3.00,32,16,150,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,11.00
-1.00,25,11,104,0,2,0,13,-13,0,0,0,0,0,0,0,1,0,0,0,11.00
-1.00,25,11,104,0,2,0,13,-13,0,0,0,0,0,0,0,1,0,0,0,11.00
0.00,1,1,4,0,0,0,3,-3,0,0,0,0,0,0,0,1,0,0,0,10.00
0.00,7,2,15,0,0,0,4,-5,0,0,0,0,0,0,0,1,0,0,0,9.00
0.00,7,2,15,0,0,0,4,-5,0,0,0,0,0,0,0,1,0,0,0,9.00
23.00,42,27,265,2,1,0,2,34,0,0,0,0,0,0,0,1,0,0,0,8.00
23.00,42,27,265,2,1,0,2,34,0,0,0,0,0,0,0,1,0,0,0,8.00
50.00,121,83,884,5,7,0,4,13,0,0,0,0,0,0,1,1,0,0,0,7.00
